Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	RideProp1Type	RideProp1PA1Min	RideProp1PA1Max	RideProp1PA2Min	RideProp1PA2Max	RideProp1PA3Min	RideProp1PA3Max	RideProp2Type	RideProp2PA1Min	RideProp2PA1Max	RideProp2PA2Min	RideProp2PA2Max	RideProp2PA3Min	RideProp2PA3Max	RideProp3Type	RideProp3PA1Min	RideProp3PA1Max	RideProp3PA2Min	RideProp3PA2Max	RideProp3PA3Min	RideProp3PA3Max	RideProp4Type	RideProp4PA1Min	RideProp4PA1Max	RideProp4PA2Min	RideProp4PA2Max	RideProp4PA3Min	RideProp4PA3Max	RideProp5Type	RideProp5PA1Min	RideProp5PA1Max	RideProp5PA2Min	RideProp5PA2Max	RideProp5PA3Min	RideProp5PA3Max	RideProp6Type	RideProp6PA1Min	RideProp6PA1Max	RideProp6PA2Min	RideProp6PA2Max	RideProp6PA3Min	RideProp6PA3Max	UnLockInterval
Hắc Mao Sư Tử  	Lv.8	1	1	12	1282	10	\image\item\equip\horse\wangliang_s.spr	\image\item\equip\horse\wangliang.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	43	43	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Ngựa Đeo Hoa  	Lv.8	1	1	12	1283	10	\image\item\equip\horse\yuxiaoyao_s.spr	\image\item\equip\horse\yuxiaoyao.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	45	45	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Hỏa Vũ Thiên Hương  	Lv.8	1	1	12	1284	10	\image\item\equip\horse\Icon_HoaVuThienHuong.spr	\image\item\equip\horse\View_HoaVuThienHuong.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	48	48	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Ngọn Gió Sa Mạc  	Lv.8	1	1	12	1285	10	\image\item\equip\horse\horse014_s.spr	\image\item\equip\horse\horse014.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	32	32	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Lạc Đà Không Bướu (Đỏ)  	Lv.8	1	1	12	1286	10	\image\item\equip\horse\hongyangtuoxiao.spr	\image\item\equip\horse\hongyangtuoda.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	33	33	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Lạc Đà Không Bướu (Lục)  	Lv.8	1	1	12	1287	10	\image\item\equip\horse\lvyangtuoxiao.spr	\image\item\equip\horse\lvyangtuoda.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	34	34	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Xích Thố  	Lv.8	1	1	12	1288	10	\image\item\equip\horse\horse001_s.spr	\image\item\equip\horse\horse010.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	10	10	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Linh Dương Giáp  	Lv.8	1	1	12	1289	10	\image\item\equip\horse\Icon_LinhDuong.spr	\image\item\equip\horse\View_LinhDuong.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	46	46	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Lừa Đeo Hoa  	Lv.8	1	1	12	1290	10	\image\item\equip\horse\Icon_LuaDeoHoa.spr	\image\item\equip\horse\View_LuaDeoHoa.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	49	49	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Tuyết Vũ Thiên Hương	Lv.8	1	1	12	1291	10	\image\item\equip\horse\viphuli02_s1.spr	\image\item\equip\horse\viphuli02_1.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	47	47	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Thỏ Vui Vẻ	Lv.8	1	1	12	1292	10	\image\item\equip\horse\tuerye_s.spr	\image\item\equip\horse\tuerye.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	50	50	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Thái Đạt Kim Quang	Lv.8	1	1	12	1293	10	\image\item\equip\horse\daxiang_s.spr	\image\item\equip\horse\daxiang.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	51	51	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Thiên Hạ Vũ Uy	Lv.8	1	1	12	1294	10	\image\item\equip\horse\qianlima_s.spr	\image\item\equip\horse\qianlima.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	53	53	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Diệu Dương Chi Hỏa	Lv.8	1	1	12	1295	10	\image\item\equip\horse\qiongqi_s.spr	\image\item\equip\horse\qiongqi.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	56	56	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Viêm Dương Long Tử	Lv.8	1	1	12	1296	10	\image\item\equip\horse\yanyangzhizi_s.spr	\image\item\equip\horse\yanyangzhizi.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	57	57	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Mật Thành Thiết Kỵ	Lv.8	1	1	12	1297	10	\image\item\equip\horse\sikui_s.spr	\image\item\equip\horse\sikui.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	44	44	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Ưng Phi	Lv.8	1	1	12	1298	10	\image\item\equip\horse\vipma_hong_s.spr	\image\item\equip\horse\vipma_hong.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	68	68	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Yên Hoa	Lv.8	1	1	12	1299	10	\image\item\equip\horse\vipma_lv_s.spr	\image\item\equip\horse\vipma_lv.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	70	70	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Tuyết Hồng Quỳ	Lv.8	1	1	12	1300	10	\image\item\equip\horse\2020vip2a1.spr	\image\item\equip\horse\2020vip2a0.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	87	87	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Tuyết Mực Quỳ	Lv.8	1	1	12	1301	10	\image\item\equip\horse\2020vip3a1.spr	\image\item\equip\horse\2020vip3a0.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	88	88	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Thích Vân Đích Lô	Lv.8	1	1	12	1302	10	\image\item\equip\horse\2021vip01a1.spr	\image\item\equip\horse\2021vip01a0.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	89	89	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Tước Linh Đạp Tuyết	Lv.8	1	1	12	1303	10	\image\item\equip\horse\2021vip04a1.spr	\image\item\equip\horse\2021vip04a0.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	92	92	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Dực Tiến	Lv.8	1	1	12	1304	10	\image\item\equip\horse\2022vip01a1.spr	\image\item\equip\horse\2022vip01a0.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	94	94	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Bôn Ngự Phong	Lv.8	1	1	12	1305	10	\image\item\equip\horse\2022vip02a1.spr	\image\item\equip\horse\2022vip02a0.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	95	95	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Hắc Phong Đạp Vân	Lv.8	1	1	12	1306	10	\image\item\equip\horse\2023vip01a1.spr	\image\item\equip\horse\2023vip01a0.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	99	99	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Bạch Vân Truy Phong	Lv.8	1	1	12	1307	10	\image\item\equip\horse\2023vip02a1.spr	\image\item\equip\horse\2023vip02a0.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	98	98	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Thiên Long Thanh Vân	Lv.8	1	1	12	1308	10	\image\item\equip\horse\Icon_ThanhVan.spr	\image\item\equip\horse\View_ThanhVan.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	100	100	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
Thánh Thú Hồng Sư	Lv.8	1	1	12	1309	10	\image\item\equip\horse\jiurui_s.spr	\image\item\equip\horse\jiurui.spr	32	Tọa Kỵ VIP 4		0	1	1200000000			3		horse	101	101	damage_all_resist	450	450					lifemax_v	4000	4000	-1	-1			lifemax_p	55	55					lifereplenish_p	65	65					defencedeadlystrikedamagetrim	55	55					allskill_v	1	1	1	1										fastlifereplenish_v	2600	2600	-1	-1	0	0	fastmanareplenish_v	2600	2600	-1	-1	0	0	adddefense_v	1600	1600	-1	-1	0	0	5	125																																																											fastwalkrun_p	130	130	-1	-1	0	0	lifereplenish_v	2000	2000	-1	-1	0	0	armordefense_v	850	850	-1	-1	0	0	staminamax_v	1500	1500	-1	-1	0	0	allskill_v	1	1			1417	1417	manamax_v	3000	3000	-1	-1	0	0	604800
